activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
DCPP,NCC,NorCPM1,dcppA-hindcast,r10i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r10i2p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r1i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r1i1p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r1i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r1i2p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r2i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r2i1p1f1/Amon/pr/gn/,2011-10-16,2021-12-16,123,0.0057,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r2i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r2i1p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r2i2p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r2i2p1f1/Amon/pr/gn/,2011-10-16,2021-12-16,123,0.00569,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r2i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r2i2p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r3i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r3i1p1f1/Amon/pr/gn/,2011-10-16,2021-12-16,123,0.00569,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r3i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r3i1p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r3i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r3i2p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r4i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r4i1p1f1/Amon/pr/gn/,2011-10-16,2021-12-16,123,0.00569,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r4i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r4i1p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r4i2p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r4i2p1f1/Amon/pr/gn/,2011-10-16,2021-12-16,123,0.00569,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r4i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r4i2p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r5i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r5i1p1f1/Amon/pr/gn/,2011-10-16,2021-12-16,123,0.0057,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r5i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r5i1p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r5i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r5i2p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r6i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r6i1p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.00432,2020-02-29,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r6i2p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r6i2p1f1/Amon/pr/gn/,2011-10-16,2021-12-16,123,0.00569,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r6i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r6i2p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r7i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r7i1p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r7i2p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r7i2p1f1/Amon/pr/gn/,2011-10-16,2021-12-16,123,0.00569,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r7i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r7i2p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r8i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r8i1p1f1/Amon/pr/gn/,2011-10-16,2021-12-16,123,0.00569,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r8i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r8i1p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.00431,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r8i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r8i2p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.0043,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r9i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r9i1p1f1/Amon/pr/gn/,2011-10-16,2021-12-16,123,0.00569,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r9i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r9i1p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.00431,2020-02-08,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r9i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2011-r9i2p1f1/Amon/tas/gn/,2011-10-16,2021-12-16,123,0.00432,2020-03-01,created,2011.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r10i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r10i1p1f1/Amon/pr/gn/,2012-10-16,2022-12-16,123,0.00569,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r10i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r10i1p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.00431,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r10i2p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r10i2p1f1/Amon/pr/gn/,2012-10-16,2022-12-16,123,0.00569,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r10i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r10i2p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.0043,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r1i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r1i1p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.0043,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r1i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r1i2p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.00432,2020-02-29,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r2i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r2i1p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.00432,2020-02-29,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r2i2p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r2i2p1f1/Amon/pr/gn/,2012-10-16,2022-12-16,123,0.00569,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r2i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r2i2p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.0043,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r3i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r3i1p1f1/Amon/pr/gn/,2012-10-16,2022-12-16,123,0.0057,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r3i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r3i1p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.0043,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r3i2p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r3i2p1f1/Amon/pr/gn/,2012-10-16,2022-12-16,123,0.0057,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r3i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r3i2p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.00432,2020-02-29,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r4i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r4i1p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.00432,2020-02-29,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r4i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r4i2p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.0043,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r5i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r5i1p1f1/Amon/pr/gn/,2012-10-16,2022-12-16,123,0.0057,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r5i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r5i1p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.0043,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r5i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r5i2p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.00432,2020-02-29,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r6i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r6i1p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.0043,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r6i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r6i2p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.0043,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r7i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r7i1p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.00432,2020-03-01,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r7i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r7i2p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.0043,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r8i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r8i1p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.00432,2020-03-01,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r8i2p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r8i2p1f1/Amon/pr/gn/,2012-10-16,2022-12-16,123,0.00569,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r8i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r8i2p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.00432,2020-03-01,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r9i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r9i1p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.0043,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r9i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2012-r9i2p1f1/Amon/tas/gn/,2012-10-16,2022-12-16,123,0.0043,2020-02-08,created,2012.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r10i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r10i1p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.00432,2020-03-01,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r10i2p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r10i2p1f1/Amon/pr/gn/,2013-10-16,2023-12-16,123,0.0057,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r10i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r10i2p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.00432,2020-03-01,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r1i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r1i1p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.0043,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r1i2p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r1i2p1f1/Amon/pr/gn/,2013-10-16,2023-12-16,123,0.00569,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r1i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r1i2p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.0043,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r2i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r2i1p1f1/Amon/pr/gn/,2013-10-16,2023-12-16,123,0.00569,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r2i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r2i1p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.0043,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r2i2p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r2i2p1f1/Amon/pr/gn/,2013-10-16,2023-12-16,123,0.00569,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r2i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r2i2p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.0043,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r3i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r3i1p1f1/Amon/pr/gn/,2013-10-16,2023-12-16,123,0.00569,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r3i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r3i1p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.0043,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r3i2p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r3i2p1f1/Amon/pr/gn/,2013-10-16,2023-12-16,123,0.00569,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r3i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r3i2p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.00432,2020-02-29,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r4i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r4i1p1f1/Amon/pr/gn/,2013-10-16,2023-12-16,123,0.00569,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r4i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r4i1p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.00432,2020-02-29,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r4i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r4i2p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.0043,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r5i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r5i1p1f1/Amon/pr/gn/,2013-10-16,2023-12-16,123,0.00569,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r5i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r5i1p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.00432,2020-02-29,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r5i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r5i2p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.00432,2020-02-29,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r6i1p1f1,Amon,pr,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r6i1p1f1/Amon/pr/gn/,2013-10-16,2023-12-16,123,0.00569,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r6i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r6i1p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.0043,2020-02-08,created,2013.0
DCPP,NCC,NorCPM1,dcppA-hindcast,r6i2p1f1,Amon,tas,gn,gs://cmip6/DCPP/NCC/NorCPM1/dcppA-hindcast/s2013-r6i2p1f1/Amon/tas/gn/,2013-10-16,2023-12-16,123,0.00432,2020-02-29,created,2013.0
